Geography,MedianRent,MedianHouseholdIncome,TotalPopulation,InflationRates,Year,RentControl,MedianHouseholdIncomeIncreasingRate,MedianRentIncreasingRate
South Gate city,991,43160,96299,0.8,2014,4,-0.083651805,0.01432958
Torrance city,1579,80198,148483,0.8,2014,4,0.047012285,0.110407876
West Covina city,1382,66333,108445,0.8,2014,4,0.037409487,0.006554989
Whittier city,1287,65489,87348,0.8,2014,4,0.059778299,0.096252129
Madera County,929,42433,154548,0.8,2014,4,0.067282056,-0.040289256
Marin County,1741,95749,260750,0.8,2014,4,-0.008604266,0.066789216
Mendocino County,935,42660,87869,0.8,2014,4,0.014699586,0.034292035
Merced County,858,44084,266353,0.8,2014,4,0.083491041,-0.006944444
Merced city,821,39450,81739,0.8,2014,4,0.111831351,0.011083744
Monterey County,1233,57864,431344,0.8,2014,4,0.01423263,0.013147083
Salinas city,1125,52305,156678,0.8,2014,4,0.115221424,-0.020887728
Napa County,1450,74123,141667,0.8,2014,4,0.045251995,0.116243264
Napa city,1424,68307,80009,0.8,2014,4,0.042584367,0.052475979
Nevada County,1154,56917,98893,0.8,2014,4,0.037665676,-0.085578447
Orange County,1572,76306,3145515,0.8,2014,4,0.028895811,0.048699133
Anaheim city,1380,62198,346961,0.8,2014,4,0.080764553,0.022979985
Buena Park city,1370,57366,83114,0.8,2014,4,-0.25266737,-0.017921147
Costa Mesa city,1558,66820,112793,0.8,2014,4,0.025648897,-0.010165184
Fullerton city,1386,61159,139663,0.8,2014,4,-0.060609784,0.065334358
Garden Grove city,1356,58234,175085,0.8,2014,4,-0.006771162,0.03908046
Huntington Beach city,1638,84915,200814,0.8,2014,4,0.023713652,0.087649402
Irvine city,1879,90743,248521,0.8,2014,4,0.033166344,0.005888651
Lake Forest city,1732,96655,80125,0.8,2014,4,0.156935268,0.057387057
Mission Viejo city,1984,103607,97231,0.8,2014,4,0.072103395,0.017435897
Newport Beach city,1980,106801,87242,0.8,2014,4,0.021794246,-0.01
Orange city,1581,75803,139826,0.8,2014,4,-0.010792118,0.072591588
Santa Ana city,1351,50797,334924,0.8,2014,4,0.060170305,0.042438272
Tustin city,1521,67344,80617,0.8,2014,4,0.014277969,0.026315789
Westminster city,1320,54622,92062,0.8,2014,4,0.100008055,-0.050359712
Yorba Linda city,1627,117368,67824,0.8,2014,4,0.154424204,-0.05075846
Placer County,1258,75390,371694,0.8,2014,4,0.028120227,-0.047691143
Roseville city,1327,80658,128593,0.8,2014,4,0.073250569,-0.011913626
Riverside County,1196,57006,2329271,0.8,2014,4,0.053812737,0.027491409
Corona city,1415,69407,161498,0.8,2014,4,0.050125579,0.063909774
Hemet city,849,31942,83040,0.8,2014,4,-0.087996802,-0.060840708
Indio city,1088,47280,85639,0.8,2014,4,-0.07659857,0.096774194
Menifee city,1303,58179,85201,0.8,2014,4,0.052746815,-0.058526012
Moreno Valley city,1290,54054,202978,0.8,2014,4,0.027154394,0.024622716
Murrieta city,1502,76766,108371,0.8,2014,4,0.060523589,-0.0176586
Perris city,1180,49425,73751,0.8,2014,4,-0.012191466,-0.076682316
Riverside city,1217,58368,319519,0.8,2014,4,0.074917127,0.062882096
Temecula city,1533,80753,109446,0.8,2014,4,0.033109448,0.015904573
Sacramento County,1017,55842,1482026,0.8,2014,4,0.054896479,0.00295858
Arden-Arcade CDP,852,46033,99903,0.8,2014,4,-0.006624946,0.008284024
Citrus Heights city,1026,50856,86147,0.8,2014,4,0.060494213,0.042682927
Elk Grove city,1434,81768,163560,0.8,2014,4,0.156336176,-0.004857738
Folsom city,1400,100348,75366,0.8,2014,4,0.032429318,-0.00990099
Sacramento city,993,48829,485193,0.8,2014,4,0.016550777,-0.016831683
San Bernardino County,1125,52041,2112619,0.8,2014,4,-0.005389599,0.03021978
Apple Valley town,951,49821,71586,0.8,2014,4,0.022304756,-0.049
Chino city,1413,79218,84743,0.8,2014,4,0.108610773,0.01217765
Chino Hills city,1885,99601,77005,0.8,2014,4,0.050355388,0.052484645
Fontana city,1208,64399,204953,0.8,2014,4,-0.004329071,0.08438061
Hesperia city,988,46952,92744,0.8,2014,4,0.092160968,-0.072300469
Ontario city,1299,52225,169085,0.8,2014,4,0.019422214,0.078008299
Rancho Cucamonga city,1463,71742,174302,0.8,2014,4,-0.130284038,-0.022058824
Redlands city,1140,63444,70618,0.8,2014,4,0.023752662,0
Rialto city,1022,50647,102740,0.8,2014,4,0.027968905,-0.011605416
San Bernardino city,986,37659,215227,0.8,2014,4,0.005849359,0.076419214
Upland city,1280,54681,76039,0.8,2014,4,-0.037001162,0.126760563
Victorville city,1166,43589,121911,0.8,2014,4,0.019268093,0.102079395
San Diego County,1373,66192,3263431,0.8,2014,4,0.077589294,0.065166796
Carlsbad city,1839,104424,112310,0.8,2014,4,0.262974565,0.081128748
Chula Vista city,1395,67911,260977,0.8,2014,4,0.115452843,0.146261298
El Cajon city,1101,46556,103075,0.8,2014,4,0.164919304,0.017560074
Escondido city,1186,52585,150252,0.8,2014,4,0.068084415,-0.009189641
Oceanside city,1391,57186,174552,0.8,2014,4,0.182139535,0.079131109
San Diego city,1412,67799,1381083,0.8,2014,3,0.068441125,0.059264816
San Marcos city,1358,66244,92910,0.8,2014,4,0.175018181,0.111292962
Vista city,1304,52486,98086,0.8,2014,4,0.158068929,0.109787234
San Francisco County,1587,85070,852469,0.8,2014,4,0.097889914,0.064386318
San Francisco city,1587,85070,852469,0.8,2014,1,0.097889914,0.064386318
San Joaquin County,1027,51659,715597,0.8,2014,4,0.004413595,0.032160804
Manteca city,1213,64419,73477,0.8,2014,4,-0.012205781,0.11900369
Stockton city,945,40993,302405,0.8,2014,4,-0.026618227,0.016129032
Tracy city,1510,77798,85835,0.8,2014,4,0.026860077,0.076265146
San Luis Obispo County,1219,63474,279083,0.8,2014,4,0.091406169,0.013300083
San Mateo County,1793,101051,758581,0.8,2014,4,0.106535117,0.074295986
Daly City city,1720,80885,106099,0.8,2014,4,0.04361009,0.087231353
Redwood City city,1771,87255,82868,0.8,2014,4,0.010386994,0.093209877
San Mateo city,1826,101229,102885,0.8,2014,4,0.208113043,0.090149254
Santa Barbara County,1395,63833,440668,0.8,2014,4,0.022620592,0.044161677
Santa Barbara city,1582,62340,91208,0.8,2014,4,-0.03249837,0.104748603
Santa Maria city,1154,52469,103414,0.8,2014,4,0.177834647,0.021238938
Santa Clara County,1787,97532,1894605,0.8,2014,4,0.059969135,0.081064731
Milpitas city,1974,102917,73679,0.8,2014,4,0.142544712,0.146341463
Mountain View city,1824,100318,79374,0.8,2014,4,-0.086373654,0.037542662
San Jose city,1668,87210,1015796,0.8,2014,3,0.076972474,0.106100796
Santa Clara city,1837,91080,122198,0.8,2014,4,-0.045433108,0.067402673
Sunnyvale city,1886,104681,149984,0.8,2014,4,0.061425834,0.058955643
Santa Cruz County,1477,65368,271804,0.8,2014,4,-0.04485812,0.094074074
Shasta County,916,43706,179804,0.8,2014,4,0.083655658,0.025755879
Redding city,951,45133,91588,0.8,2014,4,0.117817515,0.016025641
Solano County,1293,67999,431131,0.8,2014,4,0.070513224,0.028639618
Fairfield city,1251,70462,111139,0.8,2014,4,0.139737638,-0.018053375
Vacaville city,1419,70847,95863,0.8,2014,4,-0.028495029,0.017934003
Vallejo city,1187,57623,120210,0.8,2014,4,0.019298804,0.003381234
Sonoma County,1374,67771,500292,0.8,2014,4,0.110472071,0.0692607
Santa Rosa city,1329,63280,174166,0.8,2014,4,0.099775804,0.030232558
Stanislaus County,959,51084,531997,0.8,2014,4,0.065093199,-0.008273009
Modesto city,994,52186,209308,0.8,2014,4,0.126421896,0.03219107
Turlock city,932,50138,71246,0.8,2014,4,-0.031711085,-0.010615711
Sutter County,945,54433,95847,0.8,2014,4,0.1077352,-0.01459854
Tulare County,829,42611,458198,0.8,2014,4,0.080893917,0.022194821
Visalia city,872,49556,129280,0.8,2014,4,0.049226144,-0.049073064
Ventura County,1505,75449,846178,0.8,2014,4,-0.024740509,-0.0085639
Camarillo city,1741,85640,66932,0.8,2014,4,-0.044633594,0.03262159
Oxnard city,1343,59515,205434,0.8,2014,4,-0.019409158,0.007501875
San Buenaventura (Ventura) city,1443,71852,109478,0.8,2014,4,0.11635567,0.051749271
Simi Valley city,1687,82168,126873,0.8,2014,4,-0.029584401,0.056355667
Thousand Oaks city,1792,97291,129344,0.8,2014,3,-0.040683515,-0.025557368
Yolo County,1094,53765,207590,0.8,2014,4,-0.020638275,-0.014414414
Davis city,1198,53678,66733,0.8,2014,4,-0.12754165,-0.07203718
Yuba County,853,42143,73966,0.8,2014,4,-0.037853017,-0.0708061
Walnut Creek city,1662,76311,67664,0.8,2014,4,0.007286263,0.070186735
Florence-Graham CDP,NA,NA,NA,0.8,2014,4,NA,NA
Rancho Cordova city,977,60001,69727,0.8,2014,4,0.203099936,0.014537902
Palo Alto city,2000,151370,66968,0.8,2014,4,0.250227134,0
Yuba City city,1003,53335,65775,0.8,2014,4,0.153039606,0.070437567
Jurupa Valley city,1153,57972,98843,0.8,2014,4,0.073913527,0.047229791
South San Francisco city,1561,86191,67011,0.8,2014,4,0.059365052,0.037898936
South Whittier CDP,NA,NA,NA,0.8,2014,4,NA,NA
San Clemente city,1720,98710,65342,0.8,2014,4,0.081113642,0.015348288
Carmichael CDP,903,57856,66493,0.8,2014,4,0.07423224,-0.068111455
Laguna Niguel city,1898,96732,65435,0.8,2014,4,NA,NA
Castro Valley CDP,NA,NA,NA,0.8,2014,4,NA,NA
Madera city,NA,NA,NA,0.8,2014,4,NA,NA
Lake Elsinore city,NA,NA,NA,0.8,2014,4,NA,NA
Lodi city,NA,NA,NA,0.8,2014,4,NA,NA
Santa Cruz city,NA,NA,NA,0.8,2014,4,NA,NA
Rocklin city,NA,NA,NA,0.8,2014,4,NA,NA
Tehama County,NA,NA,NA,0.8,2014,4,NA,NA
Tulare city,NA,NA,NA,0.8,2014,4,NA,NA
California,1311,64500,39144818,0.7,2015,4,0.041448016,0.033911672
Alameda County,1513,81717,1638215,0.7,2015,4,0.05831844,0.087706686
Berkeley city,1460,73462,120971,0.7,2015,1,0.044028196,0.087118392
Fremont city,1923,112263,232191,0.7,2015,4,0.049962122,0.049672489
Hayward city,1484,74723,158300,0.7,2015,2,0.11932831,0.08242159
Livermore city,1834,110212,88117,0.7,2015,4,0.255047543,0.166666667
Oakland city,1240,58807,419278,0.7,2015,1,0.046611376,0.062553556
Pleasanton city,2095,134801,79519,0.7,2015,4,0.099052604,0.166481069
San Leandro city,1361,59070,90711,0.7,2015,4,-0.046258174,0.014914243
Union City city,1914,96376,74510,0.7,2015,4,0.149235044,0.157894737
Butte County,942,45644,225411,0.7,2015,4,0.077398796,0.062006764
Chico city,976,45598,90336,0.7,2015,4,0.117187309,0.101580135
Contra Costa County,1547,83104,1126745,0.7,2015,4,0.034133473,0.072072072
Antioch city,1575,68800,110542,0.7,2015,4,0.197646485,0.26607717
Concord city,1367,72114,128668,0.7,2015,4,0.032367973,-0.002189781
Pittsburg city,1495,61878,69427,0.7,2015,4,-0.039787716,0.028198074
Richmond city,1301,56374,109715,0.7,2015,4,0.024516129,0.103477523
San Ramon city,2138,125832,76132,0.7,2015,4,-0.070355731,0.088594705
El Dorado County,1120,79019,184452,0.7,2015,4,0.111175172,0.100196464
Fresno County,897,46949,974861,0.7,2015,4,0.081201207,0.006734007
Clovis city,1092,62863,104172,0.7,2015,4,0.037343234,0.032136106
Fresno city,910,43494,520072,0.7,2015,4,0.090621866,0.034090909
Humboldt County,886,40484,135727,0.7,2015,4,-0.00280802,-0.010055866
Imperial County,783,40852,180191,0.7,2015,4,0.039755663,0.010322581
Kern County,906,51342,882176,0.7,2015,4,0.077617329,0.04137931
Bakersfield city,979,61039,373627,0.7,2015,4,0.049609657,0.008238929
Kings County,892,45746,150965,0.7,2015,4,0.069231488,0.043274854
Lake County,804,37294,64591,0.7,2015,4,0.080077616,-0.110619469
Los Angeles County,1279,59134,10170292,0.7,2015,4,0.060775661,0.0322841
Alameda city,1515,92225,78614,0.7,2015,4,0.061423902,0.04699378
Alhambra city,1188,51641,85572,0.7,2015,4,-0.025843693,0.017994859
Baldwin Park city,1339,47502,77056,0.7,2015,4,-0.073493271,0.051020408
Bellflower city,1223,50692,78434,0.7,2015,4,-0.007012733,0.050687285
Burbank city,1528,70816,105314,0.7,2015,4,0.08284657,0.066294487
Carson city,1464,77162,93296,0.7,2015,4,0.144242604,0.039772727
Compton city,1098,45676,98448,0.7,2015,4,-0.014605311,0.004574565
Downey city,1275,69860,114211,0.7,2015,4,0.187206852,0.042518397
East Los Angeles CDP,1011,41220,119666,0.7,2015,4,0.066190735,0.055323591
El Monte city,1148,41632,116745,0.7,2015,4,0.069901316,0.056117755
Glendale city,1354,58076,201025,0.7,2015,3,0.138298706,0.034377387
Hawthorne city,1111,41933,88444,0.7,2015,4,-0.054754069,0.072393822
Inglewood city,1135,42122,111656,0.7,2015,4,-0.011034936,0.023444545
Lakewood city,1492,82027,81592,0.7,2015,4,0.01135551,-0.028645833
Lancaster city,1057,49729,161113,0.7,2015,4,0.101905606,-0.013071895
Long Beach city,1145,54971,474172,0.7,2015,4,0.008438664,0.000874126
Los Angeles city,1271,52024,3971896,0.7,2015,1,0.029281418,0.046952224
Lynwood city,1082,46241,72005,0.7,2015,4,0.136924666,0.004642526
Norwalk city,1434,58957,107145,0.7,2015,4,-0.075720758,0.047479912
Palmdale city,1172,52014,158350,0.7,2015,4,-0.088033664,-0.002553191
Pasadena city,1484,77312,142246,0.7,2015,4,0.090852652,0.05248227
Pomona city,1204,51266,153252,0.7,2015,4,0.09512315,0.037931034
Redondo Beach city,1820,101592,68185,0.7,2015,4,-0.080207513,-0.007092199
Santa Clarita city,1667,85916,182367,0.7,2015,4,0.053189012,-0.013609467
Santa Monica city,1654,85062,93219,0.7,2015,1,0.036128435,0.03117207
South Gate city,1047,45438,96399,0.7,2015,4,0.052780352,0.056508577
Torrance city,1566,79921,148468,0.7,2015,4,-0.003453951,-0.008233059
West Covina city,1476,78140,108489,0.7,2015,4,0.177995869,0.068017366
Whittier city,1254,70256,87436,0.7,2015,4,0.07279085,-0.025641026
Madera County,947,47150,154998,0.7,2015,4,0.111163481,0.019375673
Marin County,1782,100662,261221,0.7,2015,4,0.051311241,0.023549684
Mendocino County,978,41896,87649,0.7,2015,4,-0.017909048,0.045989305
Merced County,874,41997,268455,0.7,2015,4,-0.047341439,0.018648019
Merced city,873,34321,82440,0.7,2015,4,-0.130012674,0.063337393
Monterey County,1290,60494,433898,0.7,2015,4,0.045451403,0.04622871
Salinas city,1207,52334,157386,0.7,2015,4,0.00055444,0.072888889
Napa County,1516,75513,142456,0.7,2015,4,0.018752614,0.045517241
Napa city,1533,74315,80429,0.7,2015,4,0.087955846,0.076544944
Nevada County,1156,54177,98877,0.7,2015,4,-0.048140274,0.001733102
Orange County,1624,78428,3169776,0.7,2015,4,0.027809084,0.03307888
Anaheim city,1392,63104,350738,0.7,2015,4,0.014566385,0.008695652
Buena Park city,1470,68656,83264,0.7,2015,4,0.196806471,0.072992701
Costa Mesa city,1645,72128,113186,0.7,2015,4,0.079437294,0.055840822
Fullerton city,1411,68801,140849,0.7,2015,4,0.124952991,0.018037518
Garden Grove city,1385,58123,175384,0.7,2015,4,-0.001906103,0.021386431
Huntington Beach city,1708,85778,201927,0.7,2015,4,0.010163104,0.042735043
Irvine city,2070,93781,256927,0.7,2015,4,0.033479166,0.101649814
Lake Forest city,1741,87084,82497,0.7,2015,4,-0.099022296,0.005196305
Mission Viejo city,1916,106104,97163,0.7,2015,4,0.024100688,-0.034274194
Newport Beach city,2148,123351,87131,0.7,2015,4,0.154961096,0.084848485
Orange city,1624,83429,140995,0.7,2015,4,0.100602879,0.027197976
Santa Ana city,1359,54392,335423,0.7,2015,4,0.070771896,0.00592154
Tustin city,1624,73800,80563,0.7,2015,4,0.095866001,0.067718606
Westminster city,1340,55385,92111,0.7,2015,4,0.013968731,0.015151515
Yorba Linda city,1881,121102,67966,0.7,2015,4,0.031814464,0.15611555
Placer County,1314,75708,375391,0.7,2015,4,0.004218066,0.044515103
Roseville city,1362,72312,130282,0.7,2015,4,-0.103473927,0.026375283
Riverside County,1195,58292,2361026,0.7,2015,4,0.022559029,-0.00083612
Corona city,1405,71291,164242,0.7,2015,4,0.027144236,-0.007067138
Hemet city,1024,36334,83873,0.7,2015,4,0.137499217,0.206124853
Indio city,1092,52343,87526,0.7,2015,4,0.107085448,0.003676471
Menifee city,1197,57204,87163,0.7,2015,4,-0.016758624,-0.081350729
Moreno Valley city,1261,56025,204181,0.7,2015,4,0.036463536,-0.02248062
Murrieta city,1590,74594,109816,0.7,2015,4,-0.028293776,0.058588549
Perris city,1255,55074,74959,0.7,2015,4,0.114294385,0.063559322
Riverside city,1174,61279,322423,0.7,2015,4,0.049873218,-0.035332786
Temecula city,1633,80495,112026,0.7,2015,4,-0.003194928,0.065231572
Sacramento County,1068,58942,1501335,0.7,2015,4,0.055513771,0.050147493
Arden-Arcade CDP,873,46720,96276,0.7,2015,4,0.014924076,0.024647887
Citrus Heights city,990,49808,87053,0.7,2015,4,-0.020607205,-0.035087719
Elk Grove city,1515,84454,166890,0.7,2015,4,0.032849036,0.056485356
Folsom city,1490,105278,76368,0.7,2015,4,0.049129031,0.064285714
Sacramento city,1085,52151,490715,0.7,2015,4,0.068033341,0.09264854
San Bernardino County,1139,53803,2128133,0.7,2015,4,0.03385792,0.012444444
Apple Valley town,903,44498,72185,0.7,2015,4,-0.106842496,-0.050473186
Chino city,1504,72155,85599,0.7,2015,4,-0.08915903,0.064401982
Chino Hills city,2035,102890,78313,0.7,2015,4,0.033021757,0.079575597
Fontana city,1196,64297,207472,0.7,2015,4,-0.001583876,-0.009933775
Hesperia city,1053,46169,93286,0.7,2015,4,-0.016676606,0.065789474
Ontario city,1319,57361,171200,0.7,2015,4,0.098343705,0.015396459
Rancho Cucamonga city,1684,80720,175232,0.7,2015,4,0.125142873,0.151059467
Redlands city,1277,66148,71028,0.7,2015,4,0.042620264,0.120175439
Rialto city,1126,52080,103137,0.7,2015,4,0.028293877,0.101761252
San Bernardino city,924,35932,216137,0.7,2015,4,-0.045858892,-0.062880325
Upland city,1226,63771,76447,0.7,2015,4,0.166236901,-0.0421875
Victorville city,1178,47693,122236,0.7,2015,4,0.094152194,0.010291595
San Diego County,1427,67320,3299521,0.7,2015,4,0.017041334,0.039329934
Carlsbad city,2032,96346,113466,0.7,2015,4,-0.077357696,0.104948341
Chula Vista city,1360,66868,265754,0.7,2015,4,-0.015358337,-0.025089606
El Cajon city,1187,49227,103688,0.7,2015,4,0.057371767,0.078110808
Escondido city,1254,54284,151458,0.7,2015,4,0.032309594,0.057335582
Oceanside city,1505,60720,175714,0.7,2015,4,0.061798342,0.081955428
San Diego city,1444,67871,1394907,0.7,2015,3,0.001061963,0.02266289
San Marcos city,1533,66318,92934,0.7,2015,4,0.001117082,0.128865979
Vista city,1486,67421,100884,0.7,2015,4,0.284552071,0.139570552
San Francisco County,1659,92094,864816,0.7,2015,4,0.082567298,0.04536862
San Francisco city,1659,92094,864816,0.7,2015,1,0.082567298,0.04536862
San Joaquin County,1036,53705,726106,0.7,2015,4,0.039605877,0.008763389
Manteca city,1285,60716,75450,0.7,2015,4,-0.057483041,0.059356966
Stockton city,943,46795,305650,0.7,2015,4,0.14153636,-0.002116402
Tracy city,1513,80166,87093,0.7,2015,4,0.0304378,0.001986755
San Luis Obispo County,1254,62648,281401,0.7,2015,4,-0.013013202,0.028712059
San Mateo County,1904,101272,765135,0.7,2015,4,0.002187014,0.061907418
Daly City city,1930,81355,106574,0.7,2015,4,0.005810719,0.122093023
Redwood City city,1821,97750,85300,0.7,2015,4,0.12027964,0.028232637
San Mateo city,1966,100238,103524,0.7,2015,4,-0.009789685,0.076670318
Santa Barbara County,1419,63625,444769,0.7,2015,4,-0.003258503,0.017204301
Santa Barbara city,1555,64414,91852,0.7,2015,4,0.033269169,-0.017067004
Santa Maria city,1182,52170,105082,0.7,2015,4,-0.005698603,0.024263432
Santa Clara County,1906,102340,1918044,0.7,2015,4,0.049296641,0.066592054
Milpitas city,2013,102200,77617,0.7,2015,4,-0.006966779,0.019756839
Mountain View city,2103,120102,80438,0.7,2015,4,0.197212863,0.152960526
San Jose city,1757,91451,1026919,0.7,2015,3,0.048629744,0.053357314
Santa Clara city,2093,108886,126216,0.7,2015,4,0.195498463,0.139357648
Sunnyvale city,2127,112217,151760,0.7,2015,4,0.071990141,0.127783669
Santa Cruz County,1442,65139,274146,0.7,2015,4,-0.003503243,-0.023696682
Shasta County,919,46693,179533,0.7,2015,4,0.068343019,0.003275109
Redding city,947,45490,91579,0.7,2015,4,0.007909955,-0.004206099
Solano County,1320,67443,436092,0.7,2015,4,-0.008176591,0.020881671
Fairfield city,1298,70776,112972,0.7,2015,4,0.004456303,0.037569944
Vacaville city,1414,76489,96794,0.7,2015,4,0.0796364,-0.003523608
Vallejo city,1222,56923,121269,0.7,2015,4,-0.012147927,0.029486099
Sonoma County,1376,66674,502146,0.7,2015,4,-0.016186865,0.001455604
Santa Rosa city,1377,62329,174989,0.7,2015,4,-0.015028445,0.036117381
Stanislaus County,1025,52363,538388,0.7,2015,4,0.025037194,0.068821689
Modesto city,1026,51901,211257,0.7,2015,4,-0.005461235,0.032193159
Turlock city,1021,54842,72293,0.7,2015,4,0.093821054,0.095493562
Sutter County,911,52277,96463,0.7,2015,4,-0.039608326,-0.035978836
Tulare County,853,42413,459863,0.7,2015,4,-0.004646687,0.028950543
Visalia city,935,52599,130094,0.7,2015,4,0.061405279,0.072247706
Ventura County,1564,80032,850536,0.7,2015,4,0.060743018,0.039202658
Camarillo city,1755,85495,67623,0.7,2015,4,-0.001693134,0.008041356
Oxnard city,1405,59830,207252,0.7,2015,4,0.005292783,0.046165302
San Buenaventura (Ventura) city,1413,70627,109717,0.7,2015,4,-0.017048934,-0.020790021
Simi Valley city,1821,93438,126766,0.7,2015,4,0.137158018,0.079430943
Thousand Oaks city,1808,108322,129329,0.7,2015,3,0.113381505,0.008928571
Yolo County,1160,58966,213016,0.7,2015,4,0.096735795,0.060329068
Davis city,1307,58176,67656,0.7,2015,4,0.083795969,0.090984975
Yuba County,893,50451,74492,0.7,2015,4,0.197138315,0.046893318
Walnut Creek city,1835,91812,68906,0.7,2015,4,0.2031293,0.104091456
Florence-Graham CDP,1092,40310,66359,0.7,2015,4,NA,NA
Rancho Cordova city,994,59552,71026,0.7,2015,4,-0.007483209,0.017400205
Palo Alto city,2337,147737,66848,0.7,2015,4,-0.024000793,0.1685
Yuba City city,860,48828,66944,0.7,2015,4,-0.084503609,-0.142572283
Jurupa Valley city,1111,61042,100314,0.7,2015,4,0.0529566,-0.036426713
South San Francisco city,1631,96822,67271,0.7,2015,4,0.123342344,0.044843049
South Whittier CDP,NA,NA,NA,0.7,2015,4,NA,NA
San Clemente city,1838,100187,65532,0.7,2015,4,0.014963023,0.068604651
Carmichael CDP,972,51844,63215,0.7,2015,4,-0.103913164,0.07641196
Laguna Niguel city,2001,86662,65812,0.7,2015,4,-0.104102055,0.05426765
Castro Valley CDP,NA,NA,NA,0.7,2015,4,NA,NA
Madera city,NA,NA,NA,0.7,2015,4,NA,NA
Lake Elsinore city,NA,NA,NA,0.7,2015,4,NA,NA
Lodi city,NA,NA,NA,0.7,2015,4,NA,NA
Santa Cruz city,NA,NA,NA,0.7,2015,4,NA,NA
Rocklin city,NA,NA,NA,0.7,2015,4,NA,NA
Tehama County,NA,NA,NA,0.7,2015,4,NA,NA
Tulare city,NA,NA,NA,0.7,2015,4,NA,NA
California,1375,67739,39250017,2.1,2016,4,0.050217054,0.048817696
Alameda County,1622,89979,1647704,2.1,2016,4,0.101105033,0.0720423
Berkeley city,1657,78121,121241,2.1,2016,1,0.063420544,0.134931507
Fremont city,2168,122419,233145,2.1,2016,4,0.090466138,0.127405096
Hayward city,1634,75352,158969,2.1,2016,2,0.008417756,0.101078167
Livermore city,1925,111625,89118,2.1,2016,4,0.012820745,0.049618321
Oakland city,1310,68060,419987,2.1,2016,1,0.157345214,0.056451613
Pleasanton city,2294,142412,82267,2.1,2016,4,0.056461005,0.094988067
San Leandro city,1353,65963,90460,2.1,2016,4,0.11669206,-0.005878031
Union City city,1990,98367,75316,2.1,2016,4,0.02065867,0.039707419
Butte County,987,45177,226864,2.1,2016,4,-0.010231356,0.047770701
Chico city,997,39488,91545,2.1,2016,4,-0.133997105,0.021516393
Contra Costa County,1692,91045,1135127,2.1,2016,4,0.095554967,0.0937298
Antioch city,1658,81203,110876,2.1,2016,4,0.180276163,0.052698413
Concord city,1569,76335,128728,2.1,2016,4,0.058532324,0.147768837
Pittsburg city,1602,67392,70677,2.1,2016,4,0.089110831,0.071571906
Richmond city,1364,61814,109814,2.1,2016,1,0.096498386,0.048424289
San Ramon city,2348,151327,75643,2.1,2016,4,0.202611418,0.098222638
El Dorado County,1221,75772,185625,2.1,2016,4,-0.041091383,0.090178571
Fresno County,930,48715,979915,2.1,2016,4,0.037615285,0.036789298
Clovis city,1128,65976,106587,2.1,2016,4,0.049520386,0.032967033
Fresno city,913,44905,522021,2.1,2016,4,0.032441256,0.003296703
Humboldt County,913,43130,136646,2.1,2016,4,0.065359154,0.030474041
Imperial County,788,49095,180883,2.1,2016,4,0.201777147,0.006385696
Kern County,927,49903,884788,2.1,2016,4,-0.028027736,0.023178808
Bakersfield city,1015,59233,376371,2.1,2016,4,-0.029587641,0.036772217
Kings County,955,53234,149785,2.1,2016,4,0.163686443,0.070627803
Lake County,870,42029,64116,2.1,2016,4,0.126964123,0.082089552
Los Angeles County,1330,61338,10137915,2.1,2016,4,0.037271282,0.039874902
Alameda city,1672,92377,78907,2.1,2016,4,0.001648143,0.103630363
Alhambra city,1323,52819,85465,2.1,2016,4,0.022811332,0.113636364
Baldwin Park city,1385,63549,76465,2.1,2016,4,0.337817355,0.034353996
Bellflower city,1206,49750,77789,2.1,2016,4,-0.018582814,-0.013900245
Burbank city,1459,72618,104451,2.1,2016,4,0.025446227,-0.045157068
Carson city,1472,80616,92821,2.1,2016,4,0.044762966,0.005464481
Compton city,1137,49125,97537,2.1,2016,4,0.075510115,0.035519126
Downey city,1337,65578,113267,2.1,2016,4,-0.061294017,0.048627451
East Los Angeles CDP,1061,42352,127804,2.1,2016,4,0.027462397,0.049455984
El Monte city,1191,48434,115800,2.1,2016,4,0.163383935,0.037456446
Glendale city,1479,64611,200826,2.1,2016,3,0.112524967,0.092319055
Hawthorne city,1094,48354,88032,2.1,2016,4,0.153125224,-0.01530153
Inglewood city,1247,51620,110667,2.1,2016,4,0.225487869,0.098678414
Lakewood city,1501,86068,81121,2.1,2016,4,0.049264267,0.006032172
Lancaster city,1114,46910,160107,2.1,2016,4,-0.056687245,0.053926206
Long Beach city,1194,60075,470140,2.1,2016,4,0.092848957,0.04279476
Los Angeles city,1315,54432,3976324,2.1,2016,1,0.046286329,0.034618411
Lynwood city,1072,45201,71184,2.1,2016,4,-0.022490863,-0.009242144
Norwalk city,1417,63143,106161,2.1,2016,4,0.071000899,-0.011854951
Palmdale city,1136,52423,157349,2.1,2016,4,0.007863268,-0.030716724
Pasadena city,1496,76263,142052,2.1,2016,4,-0.013568398,0.008086253
Pomona city,1298,53972,152476,2.1,2016,4,0.052783521,0.07807309
Redondo Beach city,1908,97169,67863,2.1,2016,4,-0.043536893,0.048351648
Santa Clarita city,1761,94649,181960,2.1,2016,4,0.101645794,0.056388722
Santa Monica city,1572,90088,92478,2.1,2016,1,0.059086314,-0.049576784
South Gate city,1042,46556,95537,2.1,2016,4,0.024604956,-0.004775549
Torrance city,1565,85710,147185,2.1,2016,4,0.072434029,-0.00063857
West Covina city,1571,74076,107840,2.1,2016,4,-0.052009214,0.064363144
